"Who is Erin Carter?: Limited Series","9.100.000","Who is Erin Carter?: Limited Series","50.100.000","null","null","null","null"
"Tires: Season 1","9.100.000","null","null","null","null","null","null"
"The Bequeathed: Limited Series // 선산: 리미티드 시리즈","9.000.000","null","null","null","null","null","null"
"Suits (2011): Season 4","8.900.000","Suits (2011): Season 4","16.800.000","null","null","null","null"
"Between Lands: Season 1 // Entre Tierras: Season 1","8.900.000","null","null","null","null","null","null"
"Yellowstone: Season 3","8.900.000","null","null","null","null","null","null"
"Gangs of Galicia: Season 1 // Clanes: Temporada 1","8.900.000","null","null","null","null","null","null"
"Masha and the Bear: Season 4","8.900.000","Masha and the Bear: Season 4","10.300.000","null","null","null","null"
"Delicious in Dungeon: Season 1 // ダンジョン飯: シーズン1","8.800.000","null","null","null","null","null","null"
"Jeffrey Epstein: Filthy Rich: Limited Series","8.800.000","Jeffrey Epstein: Filthy Rich: Limited Series","1.400.000","null","null","null","null"
"Safe: Season 1","8.700.000","Safe: Season 1","2.800.000","null","null","null","null"
"Is It Cake?: Season 3","8.700.000","null","null","null","null","null","null"
"Captains of the World: Season 1","8.700.000","Captains of the World: Season 1","1.100.000","null","null","null","null"
"Business Proposal: Limited Series // 사내맞선: 리미티드 시리즈","8.600.000","Business Proposal: Limited Series // 사내맞선: 리미티드 시리즈","8.700.000","null","null","null","null"
"Outer Banks: Season 1","8.600.000","Outer Banks: Season 1","5.600.000","null","null","null","null"
"World War II: From the Frontlines: Season 1","8.600.000","World War II: From the Frontlines: Season 1","12.900.000","null","null","null","null"
"Warrior (2019): Season 2","8.500.000","null","null","null","null","null","null"
"Stranger Things 4","8.400.000","Stranger Things 4","7.400.000","null","null","null","null"
"Stranger Things 2","8.400.000","Stranger Things 2","7.100.000","null","null","null","null"
"Stranger Things 3","8.400.000","Stranger Things 3","7.100.000","null","null","null","null"
"Wrong Side of the Tracks: Season 1 // Entrevías: Temporada 1","8.300.000","Wrong Side of the Tracks: Season 1 // Entrevías: Temporada 1","3.000.000","null","null","null","null"
"The Chosen: Season 1","8.300.000","The Chosen: Season 1","7.300.000","null","null","null","null"
"Sweet Tooth: Season 1","8.300.000","Sweet Tooth: Season 1","3.100.000","null","null","null","null"
"Gabby's Dollhouse: Season 3","8.300.000","Gabby's Dollhouse: Season 3","9.100.000","null","null","null","null"
"S.W.A.T. (2017): Season 1","8.200.000","S.W.A.T. (2017): Season 1","4.300.000","null","null","null","null"
"Suits (2011): Season 5","8.200.000","Suits (2011): Season 5","15.500.000","null","null","null","null"
"Good Morning","23.400.000","Good Morning","9.400.000","null","null","null","null"
"Good Morning","23.400.000","Good Morning","6.500.000","null","null","null","null"
"Law & Order: Special Victims Unit: The Sixth Year","8.000.000","null","null","null","null","null","null"
"The Atypical Family: Limited Series // 히어로는 아닙니다만: 리미티드 시리즈","8.000.000","null","null","null","null","null","null"
"Breaking Bad: Season 2","8.000.000","Breaking Bad: Season 2","7.600.000","null","null","null","null"
"The Creature Cases: Chapter 3","8.000.000","The Creature Cases: Chapter 3","7.000.000","null","null","null","null"
"Booba: Season 4","8.000.000","Booba: Season 4","8.600.000","null","null","null","null"
"Hitler and the Nazis: Evil on Trial: Season 1","7.800.000","null","null","null","null","null","null"
"Demon Slayer: Kimetsu no Yaiba: Hashira Training Arc // 鬼滅の刃: 柱稽古編","7.800.000","null","null","null","null","null","null"
"Booba: Season 1","7.800.000","Booba: Season 1","7.700.000","null","null","null","null"
"Suits (2011): Season 6","7.700.000","Suits (2011): Season 6","14.600.000","null","null","null","null"
"Vikings (2013): Season 1","7.700.000","Vikings (2013): Season 1","4.600.000","null","null","null","null"
"Yu Yu Hakusho: Season 1 // 幽☆遊☆白書: シーズン1","7.700.000","Yu Yu Hakusho: Season 1 // 幽☆遊☆白書: シーズン1","16.500.000","null","null","null","null"
